1,đưa hàng không giống với quảng cáo
1,Hàng bị lỗi...Phớt lờ tin nhắn của khách hàng khi yêu cầu trả hàng lỗi.
1,hàng không đúng với mẫu hàng đã đặt .chất lượng rất kém .khách hàng không nên chọn shops này vì shop không có uy tín
1,đặt loại tốt giao loại thường ấm mỏng và xấu làm ăn vậy 1sao là ko oan tí nào.
1,hang rat de su dung  tien loi  Chất liệu inox cao cấp.
1,hàng kém chất lượng giao hàng bị bể nắp đậy
1,broken and low quality. I am angry.
1,quá tệ. ấm bị hư không nấu được. mua về không xài được.
1,ấm đung ko được shop ơi vào điện lên đèn nhưng ko làm nóng nước được
1,đèn sáng nhưng nước ko sôi.ko nóng gì luôn.đổi dùm shop ơi
1,Shop rất mất lịch sự. Mua về đèn sáng mà ko có nóng. Nt liện shop ko thèm trả lời giống như là lừa đảo được 1 khách hàng nên mừng wá đi ăn mừng rồi sao ấy. Các bạn đừng dại mà bị lừa giống mình nhé. Tiệm này nó lừa bán hàng ho lao đấy. Mình cố ý viết lên  để các bạn sau đỡ bị lừa giống mình.
1,Hàng vừa mở ra đã bị vỡ cả đế và đèn hôm qua mình đã gửi lại hàng và chụp lại biên lai của bưu điện nhưng gọi shop k thấy nghe máy nhắn zalo không trả lời gọi 3 cuộc không nghe.
1,hàng bị móp méo cả hai bên yêu cầu đổi lại
1,đã móp còn chảy nước..
1,kg biết nói sao khi giao sản phẩm này
1,Năp bị rời ra  đề nghị thay thế
1,giáo hàng không đúng đặt inox loại tốt giao loại thường chẳng ra làm sao...
1,Vỡ móm đèn báo sai chán hinh màu hồng dao mai xanh
1,Shop đóng gói kĩ giao hàng nhanh mà phần nắp bị bể gắn lỏng lẻo ko chặt được với bình đun
1,bình dùng rất tệ yêu cầu trả lại tiền hoặc đổi hàng mới mới giao hôm nay vừa thử đã không ăn điện.
1,bình ok nhưng gói không cẩn thận nên bị bể cái đích 1 ích nhưng vẩn sài dc. mùa dịch đang cần sài nếu k có dịch tôi sẽ đổi lại cái khác
1,giao hàng hơi kém chất lượng. bị bóp méo sản phẩm. mở ra thấy méo là chưa thích rồi. chưa thử ko biết có đun nước dc ko nữa
1,Mua loại tốt inox mà như loại thường dây điện mới dùng được mấy lần đã chảy nhựa.
1,móp méo ! chán
1,giao hang vay sau sai ha shop
1,bị bể đế ẩu quá. tui có chụp hình cho shop xem đó .tui là mối đó shop .AE  đừng mua ở LAZADA nha AE ..AE nhớ nha .  tui nhắc nhở AE đừng bao giờ mua đồ ở LAZADA nha anh em
1,bình  bị  móp  đề  nghị  trả  hàng
1,tại sao mua chỉ trong vòng 1thang mà sản phẩm không xài được hư không nhân nút để nấu sôi   âm này  không thể mua đc món hãy xem lại kỉ để bị lừa bán hàng không tốt
1,giáo hàng ko đủ
1,ấm mỏng với lại cái dây cắm nhỏ tý ạh.
1,giao hàng nhanh nhưng khi sử dụng công tắc bị nhảy liên tục. mình phải tốn thêm 30k để thay sau lần sử dụng đầu tiên. các bạn nên cân nhắc
1,ấm không nấu được. bật lên nó bị nhảy ngược lại.
1,hàng k xài đc
1,sp chất lượng
1,ấm bị hư nút ngắt tự độngsài rất hao điện
1,Giao k đúng hàng. Không đúng mẫu mã. Hàng bị đế điện và ấm hở. Không biết xài được bao lâu. Nói chung không hài lòng.
1,bể hư đủ thứ phải đem đi sửa
1,bình bị bể nhựa bên ngoài
1,sản phẩm quá tệ mua về không xài được luôn
1,mới dùng có hơn tuần lễ mà đã hư rồi không vô điện.
1,Tôi  vô cùng thất vọng khi nhận được hàng Đế bình mỏng manh   thớt đế thì còn tệ vô cùng tệ  Sử dụng bằng điện mà quá mong manh rất nguy hiểm   ai muốn mua thì hãy cân nhắc nhé
1,sản phẩm k đạt tiêu chuẩn nắp bình bị bể
1,hàng bị hỏng. lỗi . rớt nắp ra khỏi bình
1,Thất vọng thực sự  Hôm nay ngày 14 10 tôi đã nhận được đơn hàng sau bao ngày trong ngóng và lúc 17h30 khi man về text sau 5 phút 10 phút vẫn k thấy ấm có dấu hiệu sôi hau nóng gì mà chỉ thấy báo có đèn
1,mỏng
1,ấm giao bị hở phần đáy ấm. đun lâu sôi. rất tệ
1,giao hàng rất nhanh  nhưng ấm đã bik lỗi ko xài được
1,nhưa mỏng manh hàng như đồ chơi con nit
1,đóng gói vô trách nhiệm . hàng dùng đc đúng 3 hôm
1,giao hàng hư làm ăn cho gì không xài được
1,Hàng bị mốp
1,hàng quá tệ
1,Giao hàng tào lao điện cắm ko vô  nhắn tin shop ko thèm trả lời
1,hàng xài dc vài hôm đã hư
1,mới nhận được hàng mà nấu thử cái nút sôi ko bật làm thất vọng quá shop oi
1,hàng k tốt k nên mua mới mua về mà hư rồi k xài được
1,rất sai lầm khi mua cái ấm siêu tốc này ..mọi người không nên mua .. tôi đã bị lừa 1 chiếc .. cháy đèn mà không sôi nước . không thể sử dụng được... lừa đảo
1,mở hàng bị vỡ lắp dùng bị lỗi
1,Nhìn nhựa nút bấp bị vỡ và chất lượng kém ko thể dùng được.
1,Bán cái cục sắt chứ siêu tốc gì. Cắm có vô điện đâu mà nấu
1,Mua về bình bị chảy nước làm sao đổi đây cho 1sao
1,mới Sài đc mấy ngày đã bị hư rồi
1,âm quá tệ.chay nước ra ngoài
1,hàng bị hư
1,được
1,hàng không đúng với mẫu hàng đã đặt .chất lượng rất kém .khách hàng không nên chọn shops này vì shop không có uy tín
1,đặt loại tốt giao loại thường ấm mỏng và xấu làm ăn vậy 1sao là ko oan tí nào.
1,hang rat de su dung  tien loi  Chất liệu inox cao cấp.
1,đèn sáng nhưng nước ko sôi.ko nóng gì luôn.đổi dùm shop ơi
1,Mua loại tốt inox mà như loại thường dây điện mới dùng được mấy lần đã chảy nhựa.
1,giáo hàng ko đủ
1,Vừa rồi mua bình nấu nước thủy tinh  bây giờ mở ra thì bình bằng sắt..! Nắp đậy không được ! Quá tệ !
